div,season,date,team,gameno,home,points,goals,team_opponent,points_opponent,goals_opponent,manager_id,manager_name,caretaker,date_from,date_until,hometeam_uid,awayteam_uid,points_lastseason
E0,2008,2009-04-04,Arsenal,31,1,3,2,Man City,0,0,19,Arsène Wenger,0,01oct1996,13may2018,1,19,83
E0,2008,2009-02-08,Arsenal,25,0,1,0,Tottenham,1,0,19,Arsène Wenger,0,01oct1996,13may2018,31,1,83
E0,2008,2009-04-21,Arsenal,33,0,1,4,Liverpool,1,4,19,Arsène Wenger,0,01oct1996,13may2018,18,1,83
E0,2008,2008-10-04,Arsenal,7,0,1,1,Sunderland,1,1,19,Arsène Wenger,0,01oct1996,13may2018,29,1,83
E0,2008,2008-12-28,Arsenal,20,1,3,1,Portsmouth,0,0,19,Arsène Wenger,0,01oct1996,13may2018,1,24,83
E0,2008,2008-08-23,Arsenal,2,0,0,0,Fulham,3,1,19,Arsène Wenger,0,01oct1996,13may2018,14,1,83
E0,2008,2009-03-03,Arsenal,28,0,3,3,West Brom,0,1,19,Arsène Wenger,0,01oct1996,13may2018,33,1,83
E0,2008,2009-05-02,Arsenal,35,0,3,3,Portsmouth,0,0,19,Arsène Wenger,0,01oct1996,13may2018,24,1,83
E0,2008,2008-12-26,Arsenal,19,0,1,2,Aston Villa,1,2,19,Arsène Wenger,0,01oct1996,13may2018,2,1,83
E0,2008,2008-12-21,Arsenal,18,1,1,1,Liverpool,1,1,19,Arsène Wenger,0,01oct1996,13may2018,1,18,83
E0,2008,2009-02-21,Arsenal,26,1,1,0,Sunderland,1,0,19,Arsène Wenger,0,01oct1996,13may2018,1,29,83
E0,2008,2008-11-22,Arsenal,14,0,0,0,Man City,3,3,19,Arsène Wenger,0,01oct1996,13may2018,19,1,83
E0,2008,2009-01-28,Arsenal,23,0,1,1,Everton,1,1,19,Arsène Wenger,0,01oct1996,13may2018,13,1,83
E0,2008,2008-08-30,Arsenal,3,1,3,3,Newcastle,0,0,19,Arsène Wenger,0,01oct1996,13may2018,1,22,83
E0,2008,2009-03-21,Arsenal,30,0,3,3,Newcastle,0,1,19,Arsène Wenger,0,01oct1996,13may2018,22,1,83
E0,2008,2009-01-17,Arsenal,22,0,3,3,Hull,0,1,19,Arsène Wenger,0,01oct1996,13may2018,16,1,83
E0,2008,2008-11-30,Arsenal,15,0,3,2,Chelsea,0,1,19,Arsène Wenger,0,01oct1996,13may2018,11,1,83
E0,2008,2009-02-28,Arsenal,27,1,1,0,Fulham,1,0,19,Arsène Wenger,0,01oct1996,13may2018,1,14,83
E0,2008,2008-09-27,Arsenal,6,1,0,1,Hull,3,2,19,Arsène Wenger,0,01oct1996,13may2018,1,16,83
E0,2008,2009-03-14,Arsenal,29,1,3,4,Blackburn,0,0,19,Arsène Wenger,0,01oct1996,13may2018,1,4,83
